conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_ortho,"subducting_abs_paral
",Label
13.58,-3.28,-3.15,-2.16,10.42,-5.46,0
17.41,-6.18,-1.96,-3.97,15.43,-10.18,0
17.42,-6.15,-1.95,-3.99,15.43,-10.18,0
17.42,-6.13,-2.32,-2.5,15.08,-8.64,0
17.64,-6.67,-2.31,-2.52,15.32,-9.21,0
17.65,-6.73,-2.3,-2.54,15.33,-9.28,0
15.05,-3.16,-2.3,-2.55,12.75,-5.73,0
11.17,2.33,-2.29,-2.57,8.9,-0.27,0
11.16,2.45,-2.28,-2.59,8.89,-0.16,0
11.76,1.79,-2.28,-2.6,9.5,-0.84,0
12.0,1.56,-2.27,-2.62,9.75,-1.09,0
11.98,1.64,-2.26,-2.64,9.74,-1.03,0
12.02,1.77,-2.25,-2.66,9.79,-0.92,0
12.01,1.85,-2.24,-2.67,9.79,-0.85,0
11.98,1.94,-2.23,-2.69,9.77,-0.78,0
11.96,2.02,-2.22,-2.71,9.76,-0.72,0
5.05,3.96,-1.61,-4.53,3.47,-0.58,0
13.18,2.89,-1.59,-4.54,11.57,-1.66,0
13.17,2.76,-1.57,-4.56,11.58,-1.8,0
13.16,2.64,-1.55,-4.57,11.59,-1.94,0
13.15,2.51,-1.53,-4.58,11.6,-2.08,0
13.14,2.39,-1.51,-4.6,11.61,-2.22,0
13.12,2.26,-1.49,-4.61,11.61,-2.35,0
11.35,3.79,-1.47,-4.62,9.85,-0.83,0
11.39,3.73,-1.45,-4.64,9.91,-0.91,0
11.43,3.66,-1.43,-4.65,9.97,-0.99,0
11.46,3.6,-1.41,-4.66,10.02,-1.06,0
11.5,3.54,-1.39,-4.67,10.08,-1.14,0
6.97,3.46,-1.37,-4.69,5.57,-1.22,0
7.0,3.47,-1.35,-4.7,5.63,-1.23,0
7.04,3.47,-1.32,-4.71,5.69,-1.23,0
7.07,3.48,-1.3,-4.72,5.74,-1.24,0
7.1,3.49,-1.28,-4.73,5.8,-1.24,0
8.38,1.69,-1.26,-4.74,7.1,-3.05,0
8.39,1.68,-1.23,-4.75,7.13,-3.07,0
8.39,1.67,-1.21,-4.76,7.16,-3.09,0
8.4,1.67,-1.19,-4.77,7.19,-3.11,0
8.41,1.66,-1.16,-4.78,7.22,-3.12,0
10.02,0.47,-2.74,-3.6,7.25,-3.14,0
10.08,0.51,-2.76,-3.63,7.29,-3.13,0
10.13,0.55,-2.78,-3.66,7.32,-3.12,0
10.18,0.58,-2.8,-3.69,7.36,-3.12,0
10.24,0.62,-2.81,-3.72,7.39,-3.11,0
10.62,11.44,-1.97,-4.8,8.68,6.61,0
10.63,11.46,-1.97,-4.82,8.68,6.6,0
10.64,11.47,-1.98,-4.85,8.68,6.6,0
10.65,11.49,-1.99,-4.87,8.68,6.59,0
10.66,11.5,-2.0,-4.89,8.69,6.58,0
10.67,11.52,-2.0,-4.92,8.69,6.57,0
10.67,11.54,-2.01,-4.94,8.69,6.57,0
10.68,11.55,-2.01,-4.96,8.69,6.56,0
10.69,11.56,-2.02,-4.98,8.69,6.55,0
10.69,11.58,-2.02,-5.01,8.69,6.54,0
11.28,13.14,-1.16,-5.66,10.14,7.47,0
14.27,13.18,-1.94,-4.36,12.33,8.82,0
14.31,13.1,-1.93,-4.36,12.39,8.73,0
16.1,9.56,-1.91,-4.37,14.2,5.19,0
16.12,9.48,-1.89,-4.37,14.23,5.11,0
15.55,8.47,-1.84,-3.8,13.71,4.67,0
14.21,6.24,-1.75,-2.47,12.46,3.78,0
14.23,6.14,-1.74,-2.47,12.49,3.68,0
14.25,6.04,-1.73,-2.47,12.52,3.59,0
14.27,5.94,-1.72,-2.47,12.55,3.49,0
14.05,2.71,-2.38,-1.96,11.67,0.77,0
13.64,0.3,-2.63,-2.38,11.02,-2.08,0
13.6,0.22,-2.61,-2.38,11.0,-2.16,0
13.57,0.14,-2.58,-2.39,10.99,-2.24,0
13.53,0.06,-2.56,-2.39,10.98,-2.33,0
7.78,0.22,-2.54,-2.4,5.24,-2.17,0
7.75,0.22,-2.52,-2.4,5.24,-2.17,0
7.66,0.14,-2.52,-2.34,5.14,-2.18,0
7.1,-0.54,-2.79,-1.74,4.32,-2.27,0
7.08,-0.54,-2.77,-1.74,4.31,-2.27,0
1.68,0.43,1.11,-4.4,2.79,-3.98,0
1.69,0.44,1.12,-4.39,2.8,-3.95,0
1.7,0.46,1.13,-4.39,2.82,-3.93,0
1.71,0.48,1.14,-4.38,2.84,-3.91,0
1.28,-0.94,1.6,-2.94,2.87,-3.89,0
1.75,-2.19,1.15,-1.67,2.9,-3.86,0
1.77,-1.56,0.65,-2.09,2.42,-3.66,0
1.79,-0.63,-0.1,-2.73,1.69,-3.36,0
1.81,-0.61,-0.09,-2.73,1.71,-3.34,0
1.81,-0.6,-0.09,-2.73,1.72,-3.32,0
10.25,-3.07,-1.62,-0.05,8.62,-3.13,0
10.27,-3.04,-1.64,-0.05,8.63,-3.1,0
10.29,-3.02,-1.64,-0.04,8.64,-3.07,0
10.31,-2.99,-1.65,-0.04,8.65,-3.04,0
7.68,0.54,-0.17,-3.12,7.5,-2.61,0
7.06,3.27,0.87,-2.99,7.94,0.25,0
7.09,3.33,0.85,-2.99,7.94,0.31,0
7.6,4.24,0.33,-3.83,7.93,0.38,0
7.63,4.3,0.3,-3.82,7.93,0.44,0
7.64,4.36,0.28,-3.82,7.92,0.51,0
10.11,0.37,-2.2,0.24,7.92,0.58,0
10.15,0.47,-2.25,0.23,7.91,0.66,0
10.22,0.56,-2.32,0.22,7.9,0.74,0
10.26,0.66,-2.37,0.21,7.89,0.82,0
10.55,-0.51,-2.67,1.44,7.88,0.9,0
11.18,-3.36,-3.3,4.35,7.88,0.97,0
11.18,-3.32,-3.31,4.35,7.87,1.01,0
11.19,-3.28,-3.32,4.35,7.87,1.05,0
12.52,-3.04,-3.34,4.35,9.18,1.28,0
12.52,-3.0,-3.35,4.35,9.18,1.33,0
9.86,3.19,-0.69,-1.82,9.17,1.37,0
9.85,3.2,-0.68,-1.82,9.17,1.38,0
9.85,3.2,-0.68,-1.82,9.17,1.38,0
9.85,3.2,-0.68,-1.82,9.17,1.38,0
9.84,3.21,-0.68,-1.82,9.17,1.39,0
9.84,3.21,-0.68,-1.82,9.17,1.39,0
9.84,3.22,-0.68,-1.82,9.16,1.39,0
9.84,3.22,-0.67,-1.82,9.16,1.4,0
9.83,3.23,-0.67,-1.82,9.16,1.4,0
9.83,3.23,-0.67,-1.83,9.16,1.4,0
0.0,0.0,9.01,1.44,9.01,1.44,0
8.66,1.51,-1.22,-6.77,7.43,-5.27,0
5.8,6.57,-9.1,-0.51,-3.3,6.05,0
6.91,5.44,-9.04,1.14,-2.12,6.56,0
6.91,5.46,-9.03,1.14,-2.12,6.59,0
6.91,5.48,-9.02,1.14,-2.1,6.61,0
6.91,5.5,-9.02,1.14,-2.1,6.63,0
6.91,5.52,-9.0,1.14,-2.09,6.65,0
6.9,5.53,-9.0,1.14,-2.09,6.67,0
6.9,5.55,-8.98,1.14,-2.08,6.68,0
10.79,4.81,-9.15,0.46,1.64,5.3,0
2.89,0.48,-3.25,-4.78,-0.4,-4.27,0
2.89,0.48,-3.24,-4.78,-0.38,-4.28,0
2.89,0.48,-3.23,-4.79,-0.37,-4.29,0
2.91,0.48,-3.2,-4.8,-0.32,-4.3,0
2.91,0.48,-3.19,-4.81,-0.31,-4.31,0
2.89,0.48,-3.19,-4.82,-0.33,-4.32,0
2.89,0.48,-3.17,-4.83,-0.31,-4.32,0
2.89,0.48,-3.16,-4.84,-0.3,-4.33,0
2.89,0.48,-3.15,-4.85,-0.29,-4.34,0
7.48,3.87,-2.47,-4.0,4.99,-0.11,0
7.48,3.87,-2.47,-4.01,4.99,-0.11,0
7.48,3.87,-2.47,-4.01,4.99,-0.11,0
7.47,3.87,-2.48,-4.01,4.98,-0.11,0
7.47,3.87,-2.48,-4.01,4.98,-0.11,0
7.47,3.87,-2.48,-4.01,4.98,-0.11,0
7.47,3.87,-2.47,-4.01,4.98,-0.12,0
7.47,3.87,-2.47,-4.01,4.99,-0.12,0
7.47,3.87,-2.47,-4.01,4.99,-0.12,0
7.47,3.87,-2.46,-4.02,4.99,-0.12,0
5.74,1.25,-2.28,-3.39,3.47,-2.14,0
5.74,1.25,-2.28,-3.39,3.47,-2.14,0
5.74,1.25,-2.28,-3.39,3.47,-2.14,0
5.74,1.25,-2.28,-3.4,3.48,-2.14,0
5.71,1.25,-2.26,-3.4,3.47,-2.14,0
5.74,1.25,-2.27,-3.4,3.48,-2.14,0
5.74,1.25,-2.27,-3.4,3.48,-2.15,0
5.74,1.25,-2.27,-3.4,3.48,-2.15,0
5.74,1.25,-2.27,-3.4,3.49,-2.15,0
5.74,1.25,-2.26,-3.4,3.49,-2.15,0
5.41,0.69,-0.57,-2.22,4.85,-1.53,0
5.4,0.69,-0.58,-2.22,4.83,-1.53,0
5.41,0.69,-0.57,-2.22,4.85,-1.53,0
5.41,0.69,-0.57,-2.22,4.85,-1.53,0
5.41,0.69,-0.57,-2.22,4.85,-1.53,0
5.41,0.69,-0.57,-2.22,4.85,-1.53,0
5.41,0.69,-0.57,-2.22,4.85,-1.53,0
5.41,0.69,-0.57,-2.22,4.85,-1.53,0
5.41,0.69,-0.57,-2.22,4.85,-1.53,0
5.41,0.69,-0.57,-2.22,4.85,-1.53,0
4.31,0.76,-2.05,0.78,2.26,1.53,0
4.32,0.74,-2.06,0.78,2.27,1.52,0
4.34,0.73,-2.06,0.78,2.28,1.5,0
4.35,0.72,-2.07,0.77,2.28,1.48,0
4.36,0.7,-2.07,0.77,2.29,1.47,0
4.38,0.69,-2.08,0.76,2.3,1.45,0
1.19,-4.02,-2.08,0.76,-0.9,-3.27,0
1.19,-3.98,-2.09,0.76,-0.9,-3.24,0
4.41,0.65,-2.09,0.75,2.32,1.4,0
4.42,0.64,-2.1,0.75,2.32,1.38,0
4.43,0.49,-2.1,0.62,2.33,1.1,0
4.38,-0.74,-2.28,0.42,2.1,-0.33,0
4.39,-0.75,-2.29,0.42,2.1,-0.34,0
4.39,-0.76,-2.29,0.41,2.1,-0.36,0
4.4,-0.78,-2.3,0.41,2.1,-0.37,0
4.41,-0.79,-2.31,0.41,2.1,-0.39,0
4.41,-0.8,-2.31,0.4,2.1,-0.4,0
4.42,-0.81,-2.32,0.4,2.1,-0.42,0
0.06,-3.54,-2.32,0.39,-2.26,-3.16,0
3.68,-2.5,-2.02,1.31,1.65,-1.2,0
5.2,-3.02,-2.03,0.59,3.17,-2.4,0
5.27,-3.07,-2.04,0.5,3.24,-2.55,0
5.17,-3.07,-2.04,0.5,3.13,-2.55,0
5.08,-3.06,-2.05,0.5,3.03,-2.54,0
4.98,-3.05,-2.05,0.49,2.93,-2.54,0
5.74,-2.71,-2.07,0.49,3.68,-2.19,0
6.83,-2.32,-2.07,0.49,4.76,-1.81,0
8.85,-2.42,-2.1,0.38,6.76,-2.02,0
7.84,3.8,-1.78,-1.07,6.05,2.74,0
7.83,3.7,-1.79,-1.08,6.04,2.64,0
6.31,1.28,-1.61,-1.6,4.68,-0.31,0
6.1,0.96,-1.59,-1.67,4.48,-0.69,0
6.05,0.91,-1.6,-1.67,4.43,-0.75,0
5.99,0.85,-1.6,-1.68,4.37,-0.81,0
5.94,0.79,-1.6,-1.69,4.32,-0.87,0
5.89,0.74,-1.6,-1.69,4.26,-0.94,0
5.84,0.68,-1.61,-1.7,4.21,-1.0,0
4.5,-1.24,-0.99,-1.4,3.49,-2.63,0
4.25,-1.54,-1.04,-1.35,3.19,-2.89,0
4.18,-1.57,-1.04,-1.35,3.12,-2.92,0
4.18,-1.64,-1.04,-1.36,3.11,-2.99,0
4.38,-1.82,-1.05,-1.36,3.32,-3.18,0
4.31,-1.86,-1.05,-1.36,3.24,-3.22,0
4.24,-1.9,-1.06,-1.37,3.16,-3.26,0
4.55,-1.65,-1.27,-1.17,3.26,-2.81,0
7.95,0.92,-3.22,0.6,4.74,1.54,0
7.85,0.76,-3.23,0.6,4.63,1.37,0
7.62,0.59,-2.61,0.54,5.02,1.13,0
7.62,0.51,-2.62,0.53,5.01,1.05,0
20.45,-15.73,-2.62,0.53,17.82,-15.19,0
21.63,-15.06,-2.63,0.53,18.99,-14.52,0
22.14,-14.94,-2.63,0.52,19.5,-14.4,0
20.95,-13.64,-2.44,0.44,18.49,-13.19,0
9.26,-2.94,-0.72,-0.24,8.54,-3.19,0
9.09,-3.53,-0.72,-0.24,8.37,-3.78,0
9.07,-3.51,-0.72,-0.24,8.34,-3.76,0
9.05,-3.49,-0.73,-0.24,8.31,-3.74,0
9.02,-3.47,-3.68,-1.29,5.34,-4.78,0
11.44,-2.03,-3.68,-1.31,7.76,-3.35,0
12.45,-1.43,-3.68,-1.32,8.77,-2.76,0
12.44,-1.39,-3.68,-1.34,8.76,-2.74,0
12.42,-1.36,-3.67,-1.35,8.74,-2.72,0
11.92,-1.96,-3.67,-1.36,8.25,-3.33,0
11.9,-1.94,-3.67,-1.38,8.23,-3.33,0
13.59,-3.28,-3.16,-2.16,10.42,-5.46,0
17.43,-6.18,-1.97,-3.97,15.43,-10.18,0
17.43,-6.15,-1.96,-3.99,15.44,-10.18,0
17.43,-6.13,-2.32,-2.5,15.09,-8.64,0
17.65,-6.67,-2.32,-2.52,15.32,-9.21,0
17.67,-6.73,-2.31,-2.54,15.34,-9.28,0
15.05,-3.16,-2.3,-2.55,12.75,-5.73,0
11.16,2.33,-2.3,-2.57,8.87,-0.27,0
11.15,2.45,-2.29,-2.59,8.87,-0.16,0
11.73,1.79,-2.28,-2.6,9.47,-0.84,0
11.97,1.56,-2.27,-2.62,9.72,-1.09,0
11.95,1.64,-2.26,-2.64,9.71,-1.03,0
11.99,1.77,-2.26,-2.66,9.76,-0.92,0
11.98,1.85,-2.25,-2.67,9.75,-0.85,0
11.95,1.94,-2.24,-2.69,9.74,-0.78,0
11.93,2.02,-2.23,-2.71,9.72,-0.72,0
5.04,3.96,-1.61,-4.53,3.45,-0.58,0
13.2,2.89,-1.59,-4.54,11.58,-1.66,0
13.19,2.76,-1.58,-4.56,11.6,-1.8,0
13.18,2.64,-1.56,-4.57,11.61,-1.94,0
13.17,2.51,-1.54,-4.58,11.61,-2.08,0
13.16,2.39,-1.52,-4.6,11.62,-2.22,0
13.14,2.26,-1.5,-4.61,11.63,-2.35,0
11.38,3.79,-1.48,-4.62,9.88,-0.83,0
11.42,3.73,-1.46,-4.64,9.93,-0.91,0
11.45,3.66,-1.44,-4.65,9.99,-0.99,0
11.49,3.6,-1.42,-4.66,10.05,-1.06,0
11.52,3.54,-1.39,-4.67,10.1,-1.14,0
6.99,3.46,-1.37,-4.69,5.6,-1.22,0
7.03,3.47,-1.35,-4.7,5.65,-1.23,0
7.06,3.47,-1.33,-4.71,5.71,-1.23,0
7.09,3.48,-1.31,-4.72,5.76,-1.24,0
7.13,3.49,-1.28,-4.73,5.82,-1.24,0
8.41,1.69,-1.26,-4.74,7.12,-3.05,0
8.41,1.68,-1.24,-4.75,7.15,-3.07,0
8.42,1.67,-1.21,-4.76,7.18,-3.09,0
8.43,1.67,-1.19,-4.77,7.21,-3.11,0
8.43,1.66,-1.16,-4.78,7.24,-3.12,0
10.06,0.47,-2.76,-3.6,7.27,-3.14,0
10.11,0.51,-2.78,-3.63,7.31,-3.13,0
10.17,0.55,-2.79,-3.66,7.34,-3.12,0
10.22,0.58,-2.81,-3.69,7.38,-3.12,0
10.27,0.62,-2.83,-3.72,7.42,-3.11,0
10.63,11.44,-1.98,-4.8,8.68,6.61,0
10.64,11.46,-1.99,-4.82,8.68,6.6,0
10.65,11.47,-2.0,-4.85,8.68,6.6,0
10.66,11.49,-2.0,-4.87,8.68,6.59,0
10.67,11.5,-2.01,-4.89,8.68,6.58,0
10.68,11.52,-2.02,-4.92,8.68,6.57,0
10.69,11.54,-2.02,-4.94,8.69,6.57,0
10.69,11.55,-2.03,-4.96,8.69,6.56,0
10.7,11.56,-2.03,-4.98,8.69,6.55,0
10.7,11.58,-2.04,-5.01,8.69,6.54,0
11.28,13.14,-1.16,-5.66,10.13,7.47,0
14.26,13.18,-1.94,-4.36,12.33,8.82,0
14.3,13.1,-1.93,-4.36,12.38,8.73,0
16.1,9.56,-1.91,-4.37,14.2,5.19,0
16.12,9.48,-1.89,-4.37,14.23,5.11,0
15.55,8.47,-1.84,-3.8,13.71,4.67,0
14.2,6.24,-1.75,-2.47,12.45,3.78,0
14.22,6.14,-1.74,-2.47,12.49,3.68,0
14.25,6.04,-1.73,-2.47,12.52,3.59,0
14.27,5.94,-1.72,-2.47,12.55,3.49,0
14.04,2.71,-2.38,-1.96,11.66,0.77,0
13.62,0.3,-2.62,-2.38,11.0,-2.08,0
13.58,0.22,-2.6,-2.38,10.99,-2.16,0
13.55,0.14,-2.58,-2.39,10.98,-2.24,0
13.51,0.06,-2.56,-2.39,10.97,-2.33,0
7.78,0.22,-2.53,-2.4,5.25,-2.17,0
7.75,0.22,-2.51,-2.4,5.24,-2.17,0
7.66,0.14,-2.52,-2.34,5.14,-2.18,0
7.1,-0.54,-2.78,-1.74,4.32,-2.27,0
7.07,-0.54,-2.76,-1.74,4.31,-2.27,0
1.69,0.43,1.11,-4.4,2.79,-3.98,0
1.7,0.44,1.12,-4.39,2.81,-3.95,0
1.71,0.46,1.13,-4.39,2.83,-3.93,0
1.72,0.48,1.14,-4.38,2.85,-3.91,0
1.28,-0.94,1.6,-2.94,2.88,-3.89,0
1.75,-2.19,1.15,-1.67,2.9,-3.86,0
1.78,-1.56,0.65,-2.09,2.42,-3.66,0
1.8,-0.63,-0.1,-2.73,1.7,-3.36,0
1.81,-0.61,-0.09,-2.73,1.72,-3.34,0
1.82,-0.6,-0.09,-2.73,1.73,-3.32,0
10.26,-3.07,-1.63,-0.05,8.62,-3.13,0
10.28,-3.04,-1.64,-0.05,8.63,-3.1,0
10.29,-3.02,-1.65,-0.04,8.64,-3.07,0
10.31,-2.99,-1.66,-0.04,8.65,-3.04,0
7.06,3.2,0.88,-2.99,7.94,0.18,0
7.08,3.27,0.86,-2.99,7.94,0.25,0
7.1,3.33,0.83,-2.99,7.94,0.31,0
7.62,4.24,0.31,-3.83,7.93,0.38,0
7.63,4.3,0.3,-3.82,7.93,0.44,0
7.66,4.36,0.26,-3.82,7.92,0.51,0
10.13,0.37,-2.22,0.24,7.91,0.58,0
10.19,0.47,-2.29,0.23,7.91,0.66,0
10.24,0.56,-2.34,0.22,7.9,0.74,0
10.28,0.66,-2.39,0.21,7.89,0.82,0
10.57,-0.51,-2.69,1.44,7.88,0.9,0
11.19,-3.36,-3.31,4.35,7.88,0.97,0
11.19,-3.32,-3.32,4.35,7.87,1.01,0
11.2,-3.28,-3.33,4.35,7.87,1.05,0
12.53,-3.04,-3.35,4.35,9.18,1.28,0
12.53,-3.0,-3.36,4.35,9.18,1.33,0
9.86,3.19,-0.69,-1.82,9.17,1.37,0
9.85,3.2,-0.68,-1.82,9.17,1.38,0
9.85,3.2,-0.68,-1.82,9.17,1.38,0
9.85,3.2,-0.68,-1.82,9.17,1.38,0
9.84,3.21,-0.68,-1.82,9.17,1.39,0
9.84,3.21,-0.68,-1.82,9.16,1.39,0
9.84,3.22,-0.68,-1.82,9.16,1.39,0
9.84,3.22,-0.67,-1.82,9.16,1.4,0
9.83,3.23,-0.67,-1.82,9.16,1.4,0
9.83,3.23,-0.67,-1.83,9.16,1.4,0
0.0,0.0,9.01,1.44,9.01,1.44,0
8.66,1.51,-1.23,-6.77,7.43,-5.27,0
5.8,6.57,-9.1,-0.51,-3.3,6.05,0
6.91,5.44,-9.03,1.14,-2.12,6.56,0
6.92,5.46,-9.03,1.14,-2.11,6.59,0
6.92,5.48,-9.02,1.14,-2.1,6.61,0
6.92,5.5,-9.01,1.14,-2.09,6.63,0
6.91,5.52,-9.0,1.14,-2.08,6.65,0
6.91,5.53,-8.99,1.14,-2.08,6.67,0
6.9,5.55,-8.98,1.14,-2.08,6.68,0
10.77,4.81,-9.15,0.46,1.63,5.3,0
2.91,0.48,-3.24,-4.78,-0.36,-4.27,0
2.91,0.48,-3.23,-4.78,-0.35,-4.28,0
2.91,0.48,-3.22,-4.79,-0.33,-4.29,0
2.91,0.48,-3.2,-4.8,-0.32,-4.3,0
2.91,0.48,-3.19,-4.81,-0.31,-4.31,0
2.91,0.48,-3.18,-4.82,-0.29,-4.32,0
2.91,0.48,-3.16,-4.83,-0.28,-4.32,0
2.91,0.48,-3.15,-4.84,-0.27,-4.33,0
2.91,0.48,-3.14,-4.85,-0.25,-4.34,0
7.48,3.87,-2.47,-4.0,4.99,-0.11,0
7.48,3.87,-2.47,-4.01,4.99,-0.11,0
7.48,3.87,-2.47,-4.01,4.99,-0.11,0
7.48,3.87,-2.47,-4.01,4.99,-0.11,0
7.48,3.87,-2.46,-4.01,5.0,-0.11,0
7.48,3.87,-2.46,-4.01,5.0,-0.11,0
7.48,3.87,-2.46,-4.01,5.0,-0.12,0
7.48,3.87,-2.46,-4.01,5.0,-0.12,0
7.48,3.87,-2.45,-4.01,5.01,-0.12,0
7.48,3.87,-2.45,-4.02,5.01,-0.12,0
5.71,1.25,-2.27,-3.39,3.46,-2.14,0
5.71,1.25,-2.27,-3.39,3.46,-2.14,0
5.71,1.25,-2.27,-3.39,3.46,-2.14,0
5.71,1.25,-2.26,-3.4,3.46,-2.14,0
5.71,1.25,-2.26,-3.4,3.47,-2.14,0
5.71,1.25,-2.26,-3.4,3.47,-2.14,0
5.71,1.25,-2.26,-3.4,3.47,-2.15,0
5.71,1.25,-2.26,-3.4,3.47,-2.15,0
5.71,1.25,-2.25,-3.4,3.47,-2.15,0
5.71,1.25,-2.25,-3.4,3.48,-2.15,0
5.4,0.69,-0.58,-2.22,4.83,-1.53,0
5.4,0.69,-0.58,-2.22,4.83,-1.53,0
5.39,0.69,-0.58,-2.22,4.81,-1.53,0
5.4,0.69,-0.58,-2.22,4.83,-1.53,0
5.4,0.69,-0.58,-2.22,4.83,-1.53,0
5.4,0.69,-0.58,-2.22,4.83,-1.53,0
5.4,0.69,-0.58,-2.22,4.83,-1.53,0
5.4,0.69,-0.58,-2.22,4.83,-1.53,0
5.4,0.69,-0.58,-2.22,4.83,-1.53,0
5.4,0.69,-0.58,-2.22,4.83,-1.53,0
4.28,0.92,-2.08,0.7,2.19,1.62,0
4.29,0.91,-2.09,0.7,2.2,1.61,0
4.31,0.9,-2.09,0.69,2.21,1.59,0
4.32,0.89,-2.1,0.69,2.22,1.57,0
4.33,0.87,-2.1,0.69,2.23,1.56,0
4.35,0.86,-2.11,0.68,2.24,1.54,0
1.33,-3.97,-2.11,0.68,-0.79,-3.3,0
4.37,0.84,-2.12,0.67,2.25,1.51,0
4.38,0.82,-2.13,0.67,2.26,1.49,0
4.39,0.81,-2.13,0.67,2.26,1.47,0
4.4,0.66,-2.12,0.54,2.28,1.2,0
4.4,-0.57,-2.3,0.33,2.1,-0.24,0
4.41,-0.58,-2.31,0.33,2.1,-0.26,0
4.42,-0.59,-2.31,0.32,2.1,-0.27,0
4.42,-0.6,-2.32,0.32,2.1,-0.29,0
4.43,-0.61,-2.32,0.31,2.1,-0.31,0
4.44,-0.62,-2.33,0.31,2.11,-0.32,0
4.44,-0.64,-2.33,0.31,2.11,-0.34,0
4.45,-0.65,-2.34,0.3,2.1,-0.35,0
3.68,-2.5,-2.02,1.31,1.65,-1.2,0
5.2,-3.02,-2.03,0.59,3.17,-2.4,0
5.27,-3.07,-2.04,0.5,3.24,-2.55,0
5.17,-3.07,-2.04,0.5,3.13,-2.55,0
5.08,-3.06,-2.05,0.5,3.03,-2.54,0
4.98,-3.05,-2.05,0.49,2.93,-2.54,0
5.74,-2.71,-2.07,0.49,3.68,-2.19,0
6.83,-2.32,-2.07,0.49,4.76,-1.81,0
