dist_nearest_edge,trench_abs_ortho,conv_ortho,conv_paral
0.1,-0.72,6.76,0.96
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
3.31,-2.0,4.4,-1.37
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
1.07,-0.11,0.0,0.0
0.08,0.21,0.0,0.0
5.5,-1.7,4.15,-0.85
4.28,-1.52,3.96,0.96
5.5,-1.7,4.15,-0.85
0.1,-0.9,0.0,0.0
0.1,-0.67,4.6,1.16
0.1,-0.67,4.6,1.16
1.43,-0.07,0.0,0.0
0.1,-0.9,0.0,0.0
0.1,-0.67,4.6,1.16
0.1,-0.67,4.6,1.16
0.1,-0.67,4.6,1.16
0.1,-0.67,4.6,1.16
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
0.1,-0.72,6.76,0.96
0.08,-2.39,4.97,0.19
0.1,-0.72,6.76,0.96
0.1,-0.72,6.76,0.96
0.1,-0.72,6.76,0.96
0.1,-0.72,6.76,0.96
0.1,-0.72,6.76,0.96
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
3.65,-1.95,4.34,-1.43
1.42,-2.15,4.48,-1.78
1.42,-2.15,4.48,-1.78
3.65,-1.95,4.34,-1.43
1.42,-2.15,4.48,-1.78
1.42,-2.15,4.48,-1.78
3.18,-2.01,4.41,-1.37
1.42,-2.15,4.48,-1.78
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
0.08,-2.39,4.97,0.19
1.43,-0.07,0.0,0.0
0.08,0.21,0.0,0.0
1.32,1.05,0.0,0.0
0.08,0.21,0.0,0.0
0.08,0.21,0.0,0.0
0.08,0.21,0.0,0.0
4.28,-1.52,3.96,0.96
4.79,-1.89,4.39,-0.62
4.79,-1.89,4.39,-0.62
2.64,-1.41,3.88,0.02
0.08,0.21,0.0,0.0
2.64,-1.41,3.88,0.02
0.08,0.21,0.0,0.0
5.5,-1.7,4.15,-0.85
4.62,-1.59,4.07,0.61
4.63,-1.91,4.41,-0.62
4.79,-1.89,4.39,-0.62
4.63,-1.91,4.41,-0.62
4.77,-1.64,4.13,-0.23
4.62,-1.59,4.07,0.61
5.5,-1.7,4.15,-0.85
1.87,-0.92,4.54,0.86
0.08,-2.42,5.02,0.23
3.94,-1.97,4.36,-1.41
0.08,-2.42,5.02,0.23
2.61,-1.42,3.89,0.06
0.48,1.12,0.0,0.0
0.1,-0.66,4.57,1.18
0.08,-2.42,5.02,0.23
1.87,-0.92,4.54,0.86
1.87,-0.92,4.54,0.86
1.87,-0.92,4.54,0.86
0.08,-2.42,5.02,0.23
0.08,-2.42,5.02,0.23
0.08,-2.42,5.02,0.23
3.6,-2.01,4.42,-1.35
0.08,-2.42,5.02,0.23
0.08,-2.42,5.02,0.23
1.21,-0.05,0.0,0.0
0.04,0.24,0.0,0.0
5.47,-1.71,4.17,-0.82
4.08,-1.5,3.95,1.0
5.47,-1.71,4.17,-0.82
0.1,1.16,0.0,0.0
0.1,-0.66,4.57,1.18
0.1,-0.66,4.57,1.18
1.05,1.06,0.0,0.0
0.29,1.14,0.0,0.0
0.1,-0.66,4.57,1.18
0.1,-0.66,4.57,1.18
0.1,-0.66,4.57,1.18
0.1,-0.66,4.57,1.18
0.08,-2.42,5.02,0.23
0.08,-2.42,5.02,0.23
0.08,-2.42,5.02,0.23
0.08,-2.42,5.02,0.23
1.87,-0.92,4.54,0.86
1.87,-0.92,4.54,0.86
1.87,-0.92,4.54,0.86
1.87,-0.92,4.54,0.86
1.87,-0.92,4.54,0.86
1.87,-0.92,4.54,0.86
1.87,-0.92,4.54,0.86
1.87,-0.92,4.54,0.86
1.87,-0.92,4.54,0.86
1.87,-0.92,4.54,0.86
0.08,-2.42,5.02,0.23
0.08,-2.42,5.02,0.23
0.08,-2.42,5.02,0.23
0.08,-2.42,5.02,0.23
0.08,-2.42,5.02,0.23
0.08,-2.42,5.02,0.23
0.08,-2.42,5.02,0.23
0.08,-2.42,5.02,0.23
0.08,-2.42,5.02,0.23
3.94,-1.97,4.36,-1.41
1.71,-2.16,4.51,-1.76
1.71,-2.16,4.51,-1.76
3.94,-1.97,4.36,-1.41
1.71,-2.16,4.51,-1.76
1.71,-2.16,4.51,-1.76
3.47,-2.03,4.44,-1.35
1.71,-2.16,4.51,-1.76
0.08,-2.42,5.02,0.23
0.08,-2.42,5.02,0.23
0.08,-2.42,5.02,0.23
0.08,-2.42,5.02,0.23
0.08,-2.42,5.02,0.23
0.08,-2.42,5.02,0.23
1.21,-0.05,0.0,0.0
0.32,-0.15,0.0,0.0
1.05,1.06,0.0,0.0
0.04,0.24,0.0,0.0
0.04,0.24,0.0,0.0
0.04,0.24,0.0,0.0
4.08,-1.5,3.95,1.0
4.92,-1.92,4.43,-0.59
4.92,-1.92,4.43,-0.59
2.61,-1.42,3.89,0.06
0.04,0.24,0.0,0.0
2.61,-1.42,3.89,0.06
0.04,0.24,0.0,0.0
5.47,-1.71,4.17,-0.82
4.42,-1.58,4.06,0.65
4.92,-1.92,4.43,-0.59
4.92,-1.92,4.43,-0.59
4.92,-1.92,4.43,-0.59
4.73,-1.65,4.15,-0.2
4.58,-1.6,4.09,0.65
5.47,-1.71,4.17,-0.82
0.62,-0.9,4.44,0.86
0.05,-2.47,5.08,0.3
4.3,-1.98,4.39,-1.38
0.05,-2.47,5.08,0.3
2.58,-1.42,3.91,0.09
0.09,1.16,0.0,0.0
0.1,-0.65,4.54,1.2
0.05,-2.47,5.08,0.3
0.62,-0.9,4.44,0.86
0.62,-0.9,4.44,0.86
0.62,-0.9,4.44,0.86
0.05,-2.47,5.08,0.3
0.05,-2.47,5.08,0.3
0.05,-2.47,5.08,0.3
3.96,-2.03,4.45,-1.32
0.05,-2.47,5.08,0.3
0.05,-2.47,5.08,0.3
1.0,-0.04,0.0,0.0
0.16,-0.13,0.0,0.0
5.44,-1.73,4.19,-0.79
4.05,-1.5,3.96,1.04
5.44,-1.73,4.19,-0.79
0.09,1.16,0.0,0.0
0.1,-0.65,4.54,1.2
0.1,-0.65,4.54,1.2
0.96,1.07,0.0,0.0
0.1,-0.65,4.54,1.2
0.1,-0.65,4.54,1.2
0.1,-0.65,4.54,1.2
0.1,-0.65,4.54,1.2
0.1,-0.65,4.54,1.2
0.05,-2.47,5.08,0.3
0.05,-2.47,5.08,0.3
0.05,-2.47,5.08,0.3
0.05,-2.47,5.08,0.3
0.05,-2.47,5.08,0.3
0.62,-0.9,4.44,0.86
0.62,-0.9,4.44,0.86
0.62,-0.9,4.44,0.86
0.62,-0.9,4.44,0.86
0.62,-0.9,4.44,0.86
0.62,-0.9,4.44,0.86
0.62,-0.9,4.44,0.86
0.62,-0.9,4.44,0.86
0.62,-0.9,4.44,0.86
0.05,-2.47,5.08,0.3
0.05,-2.47,5.08,0.3
0.05,-2.47,5.08,0.3
0.05,-2.47,5.08,0.3
0.05,-2.47,5.08,0.3
0.05,-2.47,5.08,0.3
0.05,-2.47,5.08,0.3
0.05,-2.47,5.08,0.3
0.05,-2.47,5.08,0.3
4.3,-1.98,4.39,-1.38
2.07,-2.18,4.54,-1.73
2.07,-2.18,4.54,-1.73
4.18,-1.99,4.39,-1.44
2.07,-2.18,4.54,-1.73
2.07,-2.18,4.54,-1.73
3.83,-2.04,4.47,-1.32
2.07,-2.18,4.54,-1.73
0.05,-2.47,5.08,0.3
0.05,-2.47,5.08,0.3
0.05,-2.47,5.08,0.3
0.05,-2.47,5.08,0.3
0.05,-2.47,5.08,0.3
0.05,-2.47,5.08,0.3
1.0,-0.04,0.0,0.0
0.33,-0.11,0.0,0.0
0.79,1.09,0.0,0.0
0.16,-0.13,0.0,0.0
0.16,-0.13,0.0,0.0
0.33,-0.11,0.0,0.0
4.05,-1.5,3.96,1.04
5.28,-1.93,4.45,-0.56
5.28,-1.93,4.45,-0.56
2.58,-1.42,3.91,0.09
0.16,-0.13,0.0,0.0
2.58,-1.42,3.91,0.09
0.16,-0.13,0.0,0.0
5.44,-1.73,4.19,-0.79
4.55,-1.6,4.1,0.68
5.28,-1.93,4.45,-0.56
5.28,-1.93,4.45,-0.56
5.28,-1.93,4.45,-0.56
4.7,-1.66,4.17,-0.17
4.55,-1.6,4.1,0.68
5.44,-1.73,4.19,-0.79
0.75,-0.89,4.33,0.86
0.09,-2.5,5.13,0.34
4.65,-2.0,4.42,-1.35
0.09,-2.5,5.13,0.34
2.55,-1.43,3.93,0.13
0.09,1.16,0.0,0.0
0.1,-0.65,4.51,1.22
0.09,-2.5,5.13,0.34
0.75,-0.89,4.33,0.86
0.75,-0.89,4.33,0.86
0.75,-0.89,4.33,0.86
0.09,-2.5,5.13,0.34
0.09,-2.5,5.13,0.34
0.09,-2.5,5.13,0.34
4.31,-2.04,4.48,-1.29
0.09,-2.5,5.13,0.34
0.09,-2.5,5.13,0.34
0.79,1.08,0.0,0.0
0.2,-0.09,0.0,0.0
5.41,-1.74,4.21,-0.76
4.19,-1.52,3.99,1.07
5.41,-1.74,4.21,-0.76
0.09,1.16,0.0,0.0
0.1,-0.65,4.51,1.22
0.1,-0.65,4.51,1.22
0.79,1.08,0.0,0.0
0.1,-0.65,4.51,1.22
0.1,-0.65,4.51,1.22
0.1,-0.65,4.51,1.22
0.1,-0.65,4.51,1.22
0.1,-0.65,4.51,1.22
0.09,-2.5,5.13,0.34
0.09,-2.5,5.13,0.34
0.09,-2.5,5.13,0.34
0.09,-2.5,5.13,0.34
0.09,-2.5,5.13,0.34
0.75,-0.89,4.33,0.86
0.75,-0.89,4.33,0.86
0.75,-0.89,4.33,0.86
0.75,-0.89,4.33,0.86
0.75,-0.89,4.33,0.86
0.75,-0.89,4.33,0.86
0.75,-0.89,4.33,0.86
0.75,-0.89,4.33,0.86
0.75,-0.89,4.33,0.86
0.09,-2.5,5.13,0.34
0.09,-2.5,5.13,0.34
0.09,-2.5,5.13,0.34
0.09,-2.5,5.13,0.34
0.09,-2.5,5.13,0.34
0.09,-2.5,5.13,0.34
0.09,-2.5,5.13,0.34
0.09,-2.5,5.13,0.34
0.09,-2.5,5.13,0.34
4.65,-2.0,4.42,-1.35
2.42,-2.2,4.57,-1.71
2.42,-2.2,4.57,-1.71
4.52,-2.0,4.41,-1.42
2.42,-2.2,4.57,-1.71
2.42,-2.2,4.57,-1.71
4.18,-2.05,4.49,-1.29
2.42,-2.2,4.57,-1.71
0.09,-2.5,5.13,0.34
0.09,-2.5,5.13,0.34
0.09,-2.5,5.13,0.34
0.09,-2.5,5.13,0.34
0.09,-2.5,5.13,0.34
0.09,-2.5,5.13,0.34
0.76,-0.03,0.0,0.0
0.2,-0.09,0.0,0.0
0.44,1.12,0.0,0.0
0.2,-0.09,0.0,0.0
0.2,-0.09,0.0,0.0
0.2,-0.09,0.0,0.0
4.02,-1.5,3.96,1.07
5.62,-1.94,4.47,-0.53
5.62,-1.94,4.47,-0.53
2.55,-1.43,3.93,0.13
0.2,-0.09,0.0,0.0
2.55,-1.43,3.93,0.13
0.2,-0.09,0.0,0.0
5.41,-1.74,4.21,-0.76
4.36,-1.58,4.09,0.72
5.62,-1.94,4.47,-0.53
5.62,-1.94,4.47,-0.53
5.62,-1.94,4.47,-0.53
4.68,-1.66,4.19,-0.13
4.53,-1.6,4.11,0.72
5.41,-1.74,4.21,-0.76
1.27,-0.9,2.76,1.54
0.09,-2.58,5.18,0.37
4.95,-2.05,4.44,-1.33
0.09,-2.58,5.18,0.37
2.52,-1.48,3.94,0.16
0.09,1.11,0.0,0.0
0.1,-0.64,4.49,1.25
0.09,-2.58,5.18,0.37
1.27,-0.9,2.76,1.54
1.27,-0.9,2.76,1.54
1.27,-0.9,2.76,1.54
0.09,-2.58,5.18,0.37
0.09,-2.58,5.18,0.37
0.09,-2.58,5.18,0.37
4.83,-2.06,4.44,-1.39
0.09,-2.58,5.18,0.37
0.09,-2.58,5.18,0.37
0.63,1.06,0.0,0.0
0.2,-0.09,0.0,0.0
5.38,-1.79,4.24,-0.73
4.17,-1.56,3.99,1.11
5.38,-1.79,4.24,-0.73
0.09,1.11,0.0,0.0
0.1,-0.64,4.49,1.25
0.1,-0.64,4.49,1.25
0.63,1.06,0.0,0.0
0.1,-0.64,4.49,1.25
0.1,-0.64,4.49,1.25
0.1,-0.64,4.49,1.25
0.1,-0.64,4.49,1.25
0.1,-0.64,4.49,1.25
0.09,-2.58,5.18,0.37
0.09,-2.58,5.18,0.37
0.09,-2.58,5.18,0.37
0.09,-2.58,5.18,0.37
0.09,-2.58,5.18,0.37
1.27,-0.9,2.76,1.54
1.27,-0.9,2.76,1.54
1.27,-0.9,2.76,1.54
1.27,-0.9,2.76,1.54
1.27,-0.9,2.76,1.54
1.27,-0.9,2.76,1.54
1.27,-0.9,2.76,1.54
1.27,-0.9,2.76,1.54
1.27,-0.9,2.76,1.54
0.09,-2.58,5.18,0.37
0.09,-2.58,5.18,0.37
0.09,-2.58,5.18,0.37
0.09,-2.58,5.18,0.37
0.09,-2.58,5.18,0.37
0.09,-2.58,5.18,0.37
0.09,-2.58,5.18,0.37
0.09,-2.58,5.18,0.37
0.09,-2.58,5.18,0.37
4.95,-2.05,4.44,-1.33
2.72,-2.25,4.6,-1.68
0.09,-2.58,5.18,0.37
4.95,-2.05,4.44,-1.33
2.72,-2.25,4.6,-1.68
2.72,-2.25,4.6,-1.68
4.49,-2.11,4.52,-1.26
2.72,-2.25,4.6,-1.68
0.09,-2.58,5.18,0.37
0.09,-2.58,5.18,0.37
0.09,-2.58,5.18,0.37
0.09,-2.58,5.18,0.37
0.09,-2.58,5.18,0.37
0.09,-2.58,5.18,0.37
0.63,1.06,0.0,0.0
0.36,-0.07,0.0,0.0
0.27,1.1,0.0,0.0
0.2,-0.09,0.0,0.0
0.2,-0.09,0.0,0.0
0.36,-0.07,0.0,0.0
4.0,-1.54,3.97,1.11
5.93,-1.99,4.49,-0.5
5.93,-1.99,4.49,-0.5
2.52,-1.48,3.94,0.16
0.2,-0.09,0.0,0.0
2.52,-1.48,3.94,0.16
1.96,-1.26,3.6,1.43
5.38,-1.79,4.24,-0.73
4.33,-1.62,4.1,0.76
5.93,-1.99,4.49,-0.5
5.93,-1.99,4.49,-0.5
5.93,-1.99,4.49,-0.5
4.65,-1.71,4.2,-0.1
4.5,-1.64,4.12,0.76
5.38,-1.79,4.24,-0.73
0.26,-1.11,0.67,3.38
0.05,-2.61,5.23,0.55
3.16,-2.06,4.47,-1.3
0.05,-2.61,5.23,0.55
2.29,-1.97,4.3,1.15
0.07,-2.03,1.55,-3.92
0.1,-0.63,4.46,1.27
0.26,-1.11,0.67,3.38
0.26,-1.11,0.67,3.38
0.26,-1.11,0.67,3.38
0.26,-1.11,0.67,3.38
0.05,-2.61,5.23,0.55
0.05,-2.61,5.23,0.55
0.05,-2.61,5.23,0.55
3.28,-2.07,4.46,-1.36
0.36,-2.59,5.2,0.41
0.05,-2.61,5.23,0.55
0.07,-2.03,1.55,-3.92
1.21,-1.98,4.22,1.39
0.84,-1.71,4.09,-1.76
1.73,-1.98,4.45,0.08
0.84,-1.71,4.09,-1.76
0.1,-0.63,4.46,1.27
0.1,-0.63,4.46,1.27
0.1,-0.63,4.46,1.27
0.07,-2.03,1.55,-3.92
0.1,-0.63,4.46,1.27
0.1,-0.63,4.46,1.27
0.1,-0.63,4.46,1.27
0.1,-0.63,4.46,1.27
0.1,-0.63,4.46,1.27
0.05,-2.61,5.23,0.55
0.05,-2.61,5.23,0.55
0.26,-1.11,0.67,3.38
0.26,-1.11,0.67,3.38
0.26,-1.11,0.67,3.38
0.26,-1.11,0.67,3.38
0.26,-1.11,0.67,3.38
0.26,-1.11,0.67,3.38
0.26,-1.11,0.67,3.38
0.26,-1.11,0.67,3.38
0.26,-1.11,0.67,3.38
0.26,-1.11,0.67,3.38
0.26,-1.11,0.67,3.38
0.26,-1.11,0.67,3.38
0.05,-2.61,5.23,0.55
0.26,-1.11,0.67,3.38
0.05,-2.61,5.23,0.55
0.05,-2.61,5.23,0.55
0.05,-2.61,5.23,0.55
0.05,-2.61,5.23,0.55
0.05,-2.61,5.23,0.55
0.05,-2.61,5.23,0.55
0.05,-2.61,5.23,0.55
3.16,-2.06,4.47,-1.3
3.02,-2.27,4.62,-1.65
0.05,-2.61,5.23,0.55
3.16,-2.06,4.47,-1.3
3.02,-2.27,4.62,-1.65
3.02,-2.27,4.62,-1.65
3.62,-2.12,4.54,-1.23
3.02,-2.27,4.62,-1.65
0.05,-2.61,5.23,0.55
0.05,-2.61,5.23,0.55
0.05,-2.61,5.23,0.55
0.05,-2.61,5.23,0.55
0.05,-2.61,5.23,0.55
0.05,-2.61,5.23,0.55
0.07,-2.03,1.55,-3.92
0.34,-2.01,1.79,-3.8
0.07,-2.03,1.55,-3.92
1.07,-1.98,4.21,1.39
2.47,-1.86,3.91,2.12
0.07,-2.03,1.55,-3.92
1.73,-1.98,4.45,0.08
2.35,-2.02,4.51,-0.67
2.35,-2.02,4.51,-0.67
2.29,-1.97,4.3,1.15
2.47,-1.86,3.91,2.12
2.1,-1.98,4.45,0.08
2.29,-1.97,4.3,1.15
0.68,-1.45,3.6,-2.61
1.73,-1.98,4.45,0.08
2.02,-1.98,4.49,-0.47
2.02,-1.98,4.49,-0.47
2.02,-1.98,4.49,-0.47
1.55,-1.64,3.94,-2.06
1.55,-1.64,3.94,-2.06
0.84,-1.71,4.09,-1.76
0.16,-1.16,1.5,-0.02
0.1,-2.64,5.27,0.58
3.18,-2.08,4.49,-1.27
0.1,-2.64,5.27,0.58
2.33,-1.97,4.31,1.14
0.07,-2.03,1.56,-3.88
0.1,-0.63,4.43,1.29
0.16,-1.16,1.5,-0.02
0.16,-1.16,1.5,-0.02
0.16,-1.16,1.5,-0.02
0.16,-1.16,1.5,-0.02
0.1,-2.64,5.27,0.58
0.1,-2.64,5.27,0.58
0.1,-2.64,5.27,0.58
3.31,-2.09,4.49,-1.33
0.65,-2.59,5.21,0.44
0.1,-2.64,5.27,0.58
0.07,-2.03,1.56,-3.88
1.0,-1.98,4.23,1.38
0.88,-1.71,4.09,-1.78
1.77,-1.97,4.46,0.07
0.88,-1.71,4.09,-1.78
0.1,-0.63,4.43,1.29
0.1,-0.63,4.43,1.29
0.1,-0.63,4.43,1.29
0.07,-2.03,1.56,-3.88
0.1,-0.63,4.43,1.29
0.1,-0.63,4.43,1.29
0.1,-0.63,4.43,1.29
0.1,-0.63,4.43,1.29
0.1,-0.63,4.43,1.29
0.1,-2.64,5.27,0.58
0.1,-2.64,5.27,0.58
0.16,-1.16,1.5,-0.02
0.16,-1.16,1.5,-0.02
0.16,-1.16,1.5,-0.02
0.16,-1.16,1.5,-0.02
0.16,-1.16,1.5,-0.02
0.16,-1.16,1.5,-0.02
0.16,-1.16,1.5,-0.02
0.16,-1.16,1.5,-0.02
0.16,-1.16,1.5,-0.02
0.16,-1.16,1.5,-0.02
0.16,-1.16,1.5,-0.02
0.16,-1.16,1.5,-0.02
0.1,-2.64,5.27,0.58
0.1,-2.64,5.27,0.58
0.1,-2.64,5.27,0.58
0.1,-2.64,5.27,0.58
0.1,-2.64,5.27,0.58
0.1,-2.64,5.27,0.58
0.1,-2.64,5.27,0.58
0.1,-2.64,5.27,0.58
0.1,-2.64,5.27,0.58
3.18,-2.08,4.49,-1.27
3.31,-2.28,4.65,-1.63
0.1,-2.64,5.27,0.58
3.18,-2.08,4.49,-1.27
3.31,-2.28,4.65,-1.63
3.31,-2.28,4.65,-1.63
3.65,-2.13,4.57,-1.21
3.31,-2.28,4.65,-1.63
0.1,-2.64,5.27,0.58
0.1,-2.64,5.27,0.58
0.1,-2.64,5.27,0.58
0.1,-2.64,5.27,0.58
0.1,-2.64,5.27,0.58
0.1,-2.64,5.27,0.58
0.07,-2.03,1.56,-3.88
0.34,-2.0,1.79,-3.76
0.07,-2.03,1.56,-3.88
1.0,-1.98,4.23,1.38
2.47,-1.86,3.92,2.11
0.07,-2.03,1.56,-3.88
1.77,-1.97,4.46,0.07
2.38,-2.02,4.53,-0.64
2.38,-2.02,4.53,-0.64
2.14,-1.98,4.46,0.07
2.47,-1.86,3.92,2.11
2.14,-1.98,4.46,0.07
2.33,-1.97,4.31,1.14
0.72,-1.45,3.6,-2.62
1.77,-1.97,4.46,0.07
2.05,-1.99,4.51,-0.43
2.05,-1.99,4.51,-0.43
2.05,-1.99,4.51,-0.43
1.59,-1.64,3.94,-2.08
1.59,-1.64,3.94,-2.08
0.88,-1.71,4.09,-1.78
0.06,-1.18,2.81,-2.32
0.08,-2.67,5.31,0.62
5.82,-2.09,4.52,-1.24
0.08,-2.67,5.31,0.62
2.56,-1.97,4.32,1.12
0.07,-2.02,1.56,-3.85
0.1,-0.62,4.4,1.31
0.08,-2.67,5.31,0.62
0.06,-1.18,2.81,-2.32
0.06,-1.18,2.81,-2.32
0.06,-1.18,2.81,-2.32
0.08,-2.67,5.31,0.62
0.08,-2.67,5.31,0.62
0.08,-2.67,5.31,0.62
5.6,-2.11,4.53,-1.3
1.11,-2.58,5.21,0.48
0.08,-2.67,5.31,0.62
0.07,-2.02,1.56,-3.85
1.04,-1.98,4.24,1.37
1.09,-1.71,4.09,-1.79
2.0,-1.98,4.47,0.05
0.92,-1.71,4.09,-1.79
0.1,-0.62,4.4,1.31
0.1,-0.62,4.4,1.31
0.1,-0.62,4.4,1.31
0.07,-2.02,1.56,-3.85
0.1,-0.62,4.4,1.31
0.1,-0.62,4.4,1.31
0.1,-0.62,4.4,1.31
0.1,-0.62,4.4,1.31
0.1,-0.62,4.4,1.31
0.08,-2.67,5.31,0.62
0.08,-2.67,5.31,0.62
0.06,-1.18,2.81,-2.32
0.08,-2.67,5.31,0.62
0.06,-1.18,2.81,-2.32
0.06,-1.18,2.81,-2.32
0.06,-1.18,2.81,-2.32
0.06,-1.18,2.81,-2.32
0.06,-1.18,2.81,-2.32
0.06,-1.18,2.81,-2.32
0.06,-1.18,2.81,-2.32
0.06,-1.18,2.81,-2.32
0.06,-1.18,2.81,-2.32
0.06,-1.18,2.81,-2.32
0.08,-2.67,5.31,0.62
0.08,-2.67,5.31,0.62
0.08,-2.67,5.31,0.62
0.08,-2.67,5.31,0.62
0.08,-2.67,5.31,0.62
0.08,-2.67,5.31,0.62
0.08,-2.67,5.31,0.62
0.08,-2.67,5.31,0.62
0.08,-2.67,5.31,0.62
5.82,-2.09,4.52,-1.24
3.59,-2.29,4.68,-1.6
0.25,-2.65,5.29,0.62
5.82,-2.09,4.52,-1.24
3.59,-2.29,4.68,-1.6
3.59,-2.29,4.68,-1.6
5.48,-2.13,4.57,-1.18
3.59,-2.29,4.68,-1.6
0.08,-2.67,5.31,0.62
0.08,-2.67,5.31,0.62
0.41,-2.64,5.27,0.62
0.08,-2.67,5.31,0.62
0.08,-2.67,5.31,0.62
0.08,-2.67,5.31,0.62
0.07,-2.02,1.56,-3.85
0.34,-2.0,1.79,-3.73
0.07,-2.02,1.56,-3.85
1.04,-1.98,4.24,1.37
2.47,-1.85,3.94,2.1
0.07,-2.02,1.56,-3.85
1.82,-1.97,4.47,0.05
5.12,-2.03,4.55,-0.61
5.12,-2.03,4.55,-0.61
2.37,-1.97,4.32,1.12
2.65,-1.97,4.32,1.12
2.18,-1.98,4.47,0.05
2.76,-1.97,4.32,1.12
0.76,-1.45,3.6,-2.64
1.82,-1.97,4.47,0.05
4.62,-1.98,4.51,-0.4
4.94,-2.02,4.55,-0.4
4.94,-2.02,4.55,-0.4
1.63,-1.64,3.94,-2.1
1.63,-1.64,3.94,-2.1
0.92,-1.71,4.09,-1.79
0.1,-3.32,3.32,0.56
0.29,-3.3,3.3,0.56
6.45,-2.1,4.54,-1.21
2.63,-2.62,2.62,1.71
2.6,-1.97,4.33,1.11
0.07,-2.02,1.56,-3.81
0.1,-0.61,4.37,1.33
